Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Internally Displaced Persons,Asylum-seekers,Others of Concern to UNHCR,Stateless Persons,Venezuelans Displaced Abroad
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#affected+refugees,#affected+idps,#affected+asylum_seekers,#affected+others,#affected+stateless,#affected+vda
2008,NPL,IRL,Nepal,Ireland,5,0,8,0,0,0
2008,NPL,ISR,Nepal,Israel,0,0,8,0,0,0
2008,NPL,ITA,Nepal,Italy,5,0,0,0,0,0
2008,NPL,JPN,Nepal,Japan,0,0,13,0,0,0
2008,NPL,KOR,Nepal,Republic of Korea,0,0,295,0,0,0
2008,NPL,MEX,Nepal,Mexico,5,0,0,0,0,0
2008,NPL,MYS,Nepal,Malaysia,8,0,53,0,0,0
2008,NPL,NLD,Nepal,Netherlands,213,0,0,0,0,0
2008,NPL,NOR,Nepal,Norway,19,0,176,0,0,0
2008,NPL,NZL,Nepal,New Zealand,17,0,5,0,0,0
2008,NPL,POL,Nepal,Poland,5,0,10,0,0,0
2008,NPL,ESP,Nepal,Spain,5,0,0,0,0,0
2008,NPL,SWE,Nepal,Sweden,13,0,100,0,0,0
2008,NPL,CHE,Nepal,Switzerland,11,0,38,0,0,0
2008,NPL,THA,Nepal,Thailand,38,0,0,0,0,0
2008,NPL,USA,Nepal,United States of America,2464,0,725,0,0,0
2009,NPL,AUS,Nepal,Australia,130,0,30,0,0,0
2009,NPL,AUT,Nepal,Austria,28,0,145,0,0,0
2009,NPL,BEL,Nepal,Belgium,25,0,0,0,0,0
2009,NPL,CAN,Nepal,Canada,809,0,269,0,0,0
2009,NPL,COL,Nepal,Colombia,0,0,6,0,0,0
2009,NPL,CRI,Nepal,Costa Rica,0,0,17,0,0,0
2009,NPL,CYP,Nepal,Cyprus,0,0,17,0,0,0
2009,NPL,DNK,Nepal,Denmark,5,0,0,0,0,0
